"id","category_id/id","category_code","condition_select","condition_python","cuenta_especie/id","code","amount_python_compute","note","fondo_ahorro_aux","forma_pago","amount_fix","account_tax_id/id","integrar_al_ingreso","integrar_ptu","integrar_estatal","condition_range","variable_imss_monto","name","tipo_cotro_pago/id","parte_exenta/id","parte_gravada/id","exencion","variable_imss","amount_percentage","amount_percentage_base","sequence","variable_imss_tipo","tipo_cdeduccion/id","amount_select","tipo_cpercepcion/id"
"hr_payroll.hr_rule_basic","hr_payroll.BASIC","BASIC","Siempre Verdadero","
                    # Available variables:
                    #----------------------
                    # payslip: object containing the payslips
                    # employee: hr.employee object
                    # contract: hr.contract object
                    # rules: object containing the rules code (previously computed)
                    # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
                    # worked_days: object containing the computed worked days
                    # inputs: object containing the computed inputs

                    # Note: returned value have to be set in the variable 'result'

                    result = rules.NET > categories.NET * 0.10","","BASIC","result = contract.wage","","False","Efectivo","0.0","","","False","False","contract.wage","0.0","Salario básico","","","","False","False","0.0","","1","Todo el monto","","Código Python",""
"hr_payroll.hr_rule_taxable","hr_payroll.GROSS","GROSS","Siempre Verdadero","
                    # Available variables:
                    #----------------------
                    # payslip: object containing the payslips
                    # employee: hr.employee object
                    # contract: hr.contract object
                    # rules: object containing the rules code (previously computed)
                    # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
                    # worked_days: object containing the computed worked days
                    # inputs: object containing the computed inputs

                    # Note: returned value have to be set in the variable 'result'

                    result = rules.NET > categories.NET * 0.10","","GROSS","result = categories.BASIC + categories.ALW","","False","Efectivo","0.0","","","False","False","contract.wage","0.0","Bruto","","","","False","False","0.0","","100","Todo el monto","","Código Python",""
"hr_payroll.hr_rule_net","hr_payroll.NET","NET","Siempre Verdadero","
                    # Available variables:
                    #----------------------
                    # payslip: object containing the payslips
                    # employee: hr.employee object
                    # contract: hr.contract object
                    # rules: object containing the rules code (previously computed)
                    # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
                    # worked_days: object containing the computed worked days
                    # inputs: object containing the computed inputs

                    # Note: returned value have to be set in the variable 'result'

                    result = rules.NET > categories.NET * 0.10","","NET","result = categories.BASIC + categories.ALW + categories.DED","","False","Efectivo","0.0","","","False","False","contract.wage","0.0","Salario neto","","","","False","False","0.0","","200","Todo el monto","","Código Python",""
"__export__.hr_salary_rule_1085_38cac23d","__export__.hr_salary_rule_category_7","ALW3","Expresión python","limite_inferior = 0
cuota_fija = 0
porcentaje_sobre_excedente = 0
subsidio_empleo = 0
dias_laborados = 0
grabado_mensual = 0
work =  0

if worked_days.WORK100:
   if worked_days.WORK100.number_of_days > 1:
      work = 1

if not payslip.nom_liquidacion and payslip.ultima_nomina and payslip.isr_ajustar and work > 0 and not payslip.isr_anual:
   #grabado_mensual
   if payslip.ultima_nomina and payslip.isr_ajustar:
      grabado_mensual = TPERG + payslip.acum_per_grav
   else:
      grabado_mensual = TPERG  / payslip.dias_pagar * contract.tablas_cfdi_id.imss_mes

   if contract.tablas_cfdi_id:
       line = contract.env['tablas.general.line'].search([('form_id','=',contract.tablas_cfdi_id.id),('lim_inf','<=',grabado_mensual)],order='lim_inf desc',limit=1)
       if line:
          limite_inferior = line.lim_inf
          cuota_fija = line.c_fija
          porcentaje_sobre_excedente = line.s_excedente
       line2 = contract.env['tablas.subsidio.line'].search([('form_id','=',contract.tablas_cfdi_id.id),('lim_inf','<=',grabado_mensual)],order='lim_inf desc',limit=1)
       if line2:
          subsidio_empleo = line2.s_mensual

   #articulo 113
   excedente_limite_superior = grabado_mensual - limite_inferior
   impuesto_marginal = excedente_limite_superior * porcentaje_sobre_excedente/100
   isr_tarifa_113 = impuesto_marginal + cuota_fija

   op_isr_ajuste = 0
   op_ajuste_subem_causado = 0
   op_ajuste_subem = 0
   desc_dev_isr = 0
   desc_isr_ret_subem_entregado = 0
   desc_dev_subem = 0
   subem_entregar =  0
   factor01 = 0
   isr_retener = 0

   if isr_tarifa_113 > subsidio_empleo:
      isr_retener = isr_tarifa_113 - subsidio_empleo
      isr_retener = isr_retener - payslip.acum_isr
      if payslip.acum_subsidio_aplicado > 0 and subsidio_empleo == 0:
          if payslip.acum_subsidio_aplicado > payslip.acum_isr_antes_subem:
             desc_isr_ret_subem_entregado = payslip.acum_isr_antes_subem
             desc_dev_subem = payslip.acum_subsidio_aplicado - payslip.acum_isr_antes_subem
          else:
             desc_isr_ret_subem_entregado = payslip.acum_subsidio_aplicado
          if subsidio_empleo == 0:
             if payslip.acum_subsidio_aplicado > payslip.acum_isr_antes_subem:
                op_isr_ajuste = payslip.acum_isr_antes_subem
             else:
                op_isr_ajuste = payslip.acum_subsidio_aplicado
             if payslip.acum_subsidio_aplicado > 0:
                op_ajuste_subem_causado =  payslip.acum_subsidio_aplicado
      else:
         result = 0
   else:
      if subsidio_empleo - isr_tarifa_113  < payslip.acum_isr:
          subem_entregar = payslip.acum_isr

   if isr_retener - op_isr_ajuste < 0 or subem_entregar > 0 or (subsidio_empleo > isr_tarifa_113 and payslip.acum_isr > 0):
     result = 1
   else:
     result = 0
else:
   result = 0","","O007","#leer tablas
limite_inferior = 0
cuota_fija = 0
porcentaje_sobre_excedente = 0
subsidio_empleo = 0
dias_laborados = 0
grabado_mensual = 0

#grabado_mensual
if payslip.ultima_nomina and payslip.isr_ajustar:
        grabado_mensual = TPERG + payslip.acum_per_grav
else:
        grabado_mensual = TPERG  / payslip.dias_pagar * contract.tablas_cfdi_id.imss_mes

if contract.tablas_cfdi_id:
    line = contract.env['tablas.general.line'].search([('form_id','=',contract.tablas_cfdi_id.id),('lim_inf','<=',grabado_mensual)],order='lim_inf desc',limit=1)
    if line:
       limite_inferior = line.lim_inf
       cuota_fija = line.c_fija
       porcentaje_sobre_excedente = line.s_excedente
    line2 = contract.env['tablas.subsidio.line'].search([('form_id','=',contract.tablas_cfdi_id.id),('lim_inf','<=',grabado_mensual)],order='lim_inf desc',limit=1)
    if line2:
       subsidio_empleo = line2.s_mensual
	   
#articulo 113
excedente_limite_superior = grabado_mensual - limite_inferior
impuesto_marginal = excedente_limite_superior * porcentaje_sobre_excedente/100
isr_tarifa_113 = impuesto_marginal + cuota_fija

op_isr_ajuste = 0
op_ajuste_subem_causado = 0
op_ajuste_subem = 0
desc_dev_isr = 0
desc_isr_ret_subem_entregado = 0
desc_dev_subem = 0
subem_entregar =  0
factor01 = 0
isr_retener = 0

if isr_tarifa_113 > subsidio_empleo:
   isr_retener = isr_tarifa_113 - subsidio_empleo
   isr_retener = isr_retener - payslip.acum_isr
   if payslip.acum_subsidio_aplicado > 0 and subsidio_empleo == 0:
       if payslip.acum_subsidio_aplicado > payslip.acum_isr_antes_subem:
          desc_isr_ret_subem_entregado = payslip.acum_isr_antes_subem
          desc_dev_subem = payslip.acum_subsidio_aplicado - payslip.acum_isr_antes_subem
       else:
          desc_isr_ret_subem_entregado = payslip.acum_subsidio_aplicado
       if subsidio_empleo == 0:
          if payslip.acum_subsidio_aplicado > payslip.acum_isr_antes_subem:
             op_isr_ajuste = payslip.acum_isr_antes_subem
          else:
             op_isr_ajuste = payslip.acum_subsidio_aplicado
          if payslip.acum_subsidio_aplicado > 0:
             op_ajuste_subem_causado =  payslip.acum_subsidio_aplicado
   else:
      result = 0
else:
      if subsidio_empleo - isr_tarifa_113  < payslip.acum_isr:
          subem_entregar = payslip.acum_isr
      elif  subsidio_empleo > isr_tarifa_113 and payslip.acum_isr > 0:
          subem_entregar = payslip.acum_isr

if isr_retener - op_isr_ajuste < 0:
   result = abs(isr_retener - op_isr_ajuste)
else:
   result = abs(subem_entregar)","","False","Efectivo","0.0","","","False","False","contract.wage","0.0","Devolución ISR","catalogo.otropago01","","","False","False","0.0","","425","Todo el monto","","Código Python",""
"__export__.hr_salary_rule_1091_33bc0404","__export__.hr_salary_rule_category_7","ALW3","Expresión python","if payslip.isr_anual and payslip.isr_ajustar:
   result = 1
else:
   result = 0","","O007","#leer tablas
limite_inferior = 0
cuota_fija = 0
porcentaje_sobre_excedente = 0
subsidio_empleo = 0
dias_laborados = 0
limite_inferior2 = 0
cuota_fija2 = 0
porcentaje_sobre_excedente2 = 0
grabado_anual = 0
grabado_mensual = 0

if worked_days.WORK100:
   dias_laborados = worked_days.WORK100.number_of_days
if worked_days.FJC:
   dias_laborados = dias_laborados + worked_days.FJC.number_of_days
if worked_days.VAC:
   dias_laborados = dias_laborados + worked_days.VAC.number_of_days
if worked_days.SEPT:
   dias_laborados = dias_laborados + worked_days.SEPT.number_of_days

isr_anual = 0
isr_acum_anual = 0
subsidio_x_aplicar = 0
##################subsidio mensual##############################
#gravado mensual
grabado_mensual = TPERG * (365/12/16) #+ payslip.acum_per_grav 
if contract.tablas_cfdi_id:
   line3 = contract.env['tablas.general.line'].search([('form_id','=',contract.tablas_cfdi_id.id),('lim_inf','<=',grabado_mensual)],order='lim_inf desc',limit=1)
   if line3:
       limite_inferior2 = line3.lim_inf
       cuota_fija2 = line3.c_fija
       porcentaje_sobre_excedente2 = line3.s_excedente
   line4 = contract.env['tablas.subsidio.line'].search([('form_id','=',contract.tablas_cfdi_id.id),('lim_inf','<=',grabado_mensual)],order='lim_inf desc',limit=1)
   if line4:
       subsidio_empleo2 = line4.s_mensual

subsidio_x_aplicar = subsidio_empleo2 / (365/12/16) # - payslip.acum_subsidio_aplicado

######################### Calculo ISR anual #############################
grabado_anual = TPERG + payslip.acum_per_grav_anual

if contract.tablas_cfdi_id:
    line = contract.env['tablas.isr.anual'].search([('form_id','=',contract.tablas_cfdi_id.id),('lim_inf','<=',grabado_anual)],order='lim_inf desc',limit=1)
    if line:
       limite_inferior = line.lim_inf
       cuota_fija = line.c_fija
       porcentaje_sobre_excedente = line.s_excedente
	   
#articulo 113
excedente_limite_superior = grabado_anual - limite_inferior
impuesto_marginal = excedente_limite_superior * porcentaje_sobre_excedente/100
isr_tarifa_113 = impuesto_marginal + cuota_fija

sub_apl_anual = payslip.acum_subsidio_aplicado_anual -  payslip.acum_dev_subem - payslip.acum_dev_subem_entregado  + subsidio_x_aplicar
  
isr_ret_anual =  payslip.acum_isr_anual + payslip.acum_isr_ajuste - payslip.acum_dev_isr

isr_anual = isr_tarifa_113 - isr_ret_anual - sub_apl_anual

if isr_anual < 0 and isr_tarifa_113>sub_apl_anual:
   result =  abs(isr_anual)
else:
   result =  0","","False","Efectivo","0.0","","","False","False","contract.wage","0.0","Devolucion ISR anual","","","","False","False","0.0","","425","Todo el monto","","Código Python",""
"__export__.hr_salary_rule_1086_0bbe0f70","hr_payroll.DED","DED","Expresión python","if payslip.isr_anual and payslip.isr_ajustar:
   result = 1
else:
   result = 0","","ISR2","#leer tablas
limite_inferior = 0
cuota_fija = 0
porcentaje_sobre_excedente = 0
subsidio_empleo = 0
dias_laborados = 0
limite_inferior2 = 0
cuota_fija2 = 0
porcentaje_sobre_excedente2 = 0
grabado_anual = 0
grabado_mensual = 0

if worked_days.WORK100:
   dias_laborados = worked_days.WORK100.number_of_days
if worked_days.FJC:
   dias_laborados = dias_laborados + worked_days.FJC.number_of_days
if worked_days.VAC:
   dias_laborados = dias_laborados + worked_days.VAC.number_of_days
if worked_days.SEPT:
   dias_laborados = dias_laborados + worked_days.SEPT.number_of_days

isr_anual = 0
isr_acum_anual = 0
subsidio_x_aplicar = 0
##################subsidio mensual##############################
#gravado mensual
grabado_mensual = TPERG * (365/12/16) #+ payslip.acum_per_grav 
if contract.tablas_cfdi_id:
   line3 = contract.env['tablas.general.line'].search([('form_id','=',contract.tablas_cfdi_id.id),('lim_inf','<=',grabado_mensual)],order='lim_inf desc',limit=1)
   if line3:
       limite_inferior2 = line3.lim_inf
       cuota_fija2 = line3.c_fija
       porcentaje_sobre_excedente2 = line3.s_excedente
   line4 = contract.env['tablas.subsidio.line'].search([('form_id','=',contract.tablas_cfdi_id.id),('lim_inf','<=',grabado_mensual)],order='lim_inf desc',limit=1)
   if line4:
       subsidio_empleo2 = line4.s_mensual

subsidio_x_aplicar = subsidio_empleo2 / (365/12/16)

######################### Calculo ISR anual #############################
grabado_anual = TPERG + payslip.acum_per_grav_anual

if contract.tablas_cfdi_id:
    line = contract.env['tablas.isr.anual'].search([('form_id','=',contract.tablas_cfdi_id.id),('lim_inf','<=',grabado_anual)],order='lim_inf desc',limit=1)
    if line:
       limite_inferior = line.lim_inf
       cuota_fija = line.c_fija
       porcentaje_sobre_excedente = line.s_excedente
	   
#articulo 113
excedente_limite_superior = grabado_anual - limite_inferior
impuesto_marginal = excedente_limite_superior * porcentaje_sobre_excedente/100
isr_tarifa_113 = impuesto_marginal + cuota_fija

sub_apl_anual = payslip.acum_subsidio_aplicado_anual -  payslip.acum_dev_subem - payslip.acum_dev_subem_entregado + subsidio_x_aplicar
  
isr_ret_anual =  payslip.acum_isr_anual + payslip.acum_isr_ajuste - payslip.acum_dev_isr

isr_anual = isr_tarifa_113 - isr_ret_anual - sub_apl_anual

if isr_anual > 0:
   result =  isr_anual
else:
   result =  0","","False","Efectivo","0.0","","","False","False","contract.wage","0.0","ISR quincenal (sp) anual","","","","False","False","0.0","","5","Todo el monto","catalogos.deduccion02","Código Python",""
"__export__.hr_salary_rule_1090_d5e2271d","hr_payroll.DED","DED","Expresión python","if payslip.isr_anual and payslip.isr_ajustar:
   result = 1
else:
   result = 0","","ISR2","#leer tablas
limite_inferior = 0
cuota_fija = 0
porcentaje_sobre_excedente = 0
subsidio_empleo = 0
dias_laborados = 0
grabado_anual = 0

if worked_days.WORK100:
   dias_laborados = worked_days.WORK100.number_of_days
if worked_days.FJC:
   dias_laborados = dias_laborados + worked_days.FJC.number_of_days
if worked_days.VAC:
   dias_laborados = dias_laborados + worked_days.VAC.number_of_days
if worked_days.SEPT:
   dias_laborados = dias_laborados + worked_days.SEPT.number_of_days

#grabado_anual
grabado_anual = TPERG + payslip.acum_per_grav_anual + payslip.percepcion_gravada_proyectado

if contract.tablas_cfdi_id:
    line = contract.env['tablas.isr.anual'].search([('form_id','=',contract.tablas_cfdi_id.id),('lim_inf','<=',grabado_anual)],order='lim_inf desc',limit=1)
    if line:
       limite_inferior = line.lim_inf
       cuota_fija = line.c_fija
       porcentaje_sobre_excedente = line.s_excedente
    line2 = contract.env['tablas.subsidio.line'].search([('form_id','=',contract.tablas_cfdi_id.id),('lim_inf','<=',grabado_anual)],order='lim_inf desc',limit=1)
    if line2:
       subsidio_empleo = line2.s_mensual
	   
#articulo 113
excedente_limite_superior = grabado_anual - limite_inferior
impuesto_marginal = excedente_limite_superior * porcentaje_sobre_excedente/100
isr_tarifa_113 = impuesto_marginal + cuota_fija

isr_anual = 0
#subsidio mensual
#isr_anual = isr_tarifa_113 - payslip.acum_isr_anual - payslip.acum_subsidio_aplicado_anual - #payslip.isr_proyectado * 2

#if isr_anual > 0:
#   result = isr_anual
#else:
#   result = 0

#subsidio mensual
if subsidio_empleo > 0:
   subsidio_pagado = isr_tarifa_113 - abs(payslip.acum_isr_antes_subem_anual)  - subsidio_empleo + abs(payslip.acum_subsidio_aplicado_anual)
else:
   subsidio_pagado = isr_tarifa_113 - abs(payslip.acum_isr_antes_subem_anual)  - subsidio_empleo - abs(payslip.acum_isr_anual) - payslip.dev_acum_isr + payslip.acum_isr_ajuste
   total = isr_tarifa_113 - payslip.acum_isr_anual - payslip.isr_proyectado - payslip.dev_acum_isr + payslip.acum_isr_ajuste
   total2 =  subsidio_pagado

if subsidio_pagado < 0:
   result = 0
else:
   if total > 0:
      result = abs(total)
   else:
      result = abs(total2)","","False","Efectivo","0.0","","","False","False","contract.wage","0.0","ISR quincenal (sp) aguinaldo","","","","False","False","0.0","","5","Todo el monto","catalogos.deduccion02","Código Python",""
"__export__.hr_salary_rule_315_22fc6cd6","hr_payroll.ALW","ALW","Expresión python","if worked_days.WORK100:
   result = 1>0
else:
   result = 0>1","","P001","dias_laborados = 0

if worked_days.WORK100:
   dias_laborados = worked_days.WORK100.number_of_days
if worked_days.FJC:
   dias_laborados = dias_laborados + worked_days.FJC.number_of_days

result = contract.sueldo_diario*dias_laborados","","False","Efectivo","0.0","","","False","False","contract.wage","0.0","Sueldo base","","","","False","False","0.0","","100","","","Código Python","catalogo.percepciones01"
"__export__.hr_salary_rule_9","hr_payroll.ALW","ALW","Expresión python","if worked_days.SEPT:
   result = 1
else:
   result = 0","","P005","dias_laborados = 0

if worked_days.SEPT:
   result = worked_days.SEPT.number_of_days * contract.sueldo_diario
else:
  result = 0","","False","Efectivo","10.0","","","False","False","contract.wage","0.0","Septimo dia","","","","False","False","0.0","","102","Todo el monto","","Código Python","catalogo.percepciones01"
"__export__.hr_salary_rule_139_6b02665e","hr_payroll.ALW","ALW","Expresión python","if contract.periodicidad_pago ==""02"":
   result = 1> 0
else:
   result = 0> 1","","P003","dias_laborados = 0

if contract.dias_pendientes_pagar > 0 :
  dias_laborados = contract.dias_pendientes_pagar
  result = 1/6 *contract.sueldo_diario*dias_laborados
else:
  result = 0","","False","Efectivo","10.0","","","False","False","contract.wage","0.0","Septimo dia liquidación","","","","False","False","0.0","","103","Todo el monto","","Código Python","catalogo.percepciones01"
